Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country,City,State,Postal Code,Region
CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,United States,Henderson,Kentucky,42420,South
CA-2016-138688,2016-12-06,,Second Class,DV-13045,United States,Los Angeles,California,90036,West
US-2015-108966,2015-11-10,,Standard Class,SO-20335,United States,Fort Lauderdale,Florida,33311,South
CA-2014-115812,2014-09-06,,Standard Class,BH-11710,United States,Los Angeles,California,90032,West
CA-2017-114412,,,Standard Class,AA-10480,United States,Concord,North Carolina,28027,South
CA-2016-161389,2016-05-12,2016-10-12,Standard Class,IM-15070,United States,Seattle,Washington,98103,West
US-2015-118983,,,Standard Class,HP-14815,United States,Fort Worth,Texas,76106,Central
CA-2014-105893,2014-11-11,,Standard Class,PK-19075,United States,Madison,Wisconsin,53711,Central
CA-2014-167164,,,Second Class,AG-10270,United States,West Jordan,Utah,84084,West
CA-2014-143336,,2014-01-09,Second Class,ZD-21925,United States,San Francisco,California,94109,West
CA-2016-137330,2016-09-12,,Standard Class,KB-16585,United States,Fremont,Nebraska,68025,Central
US-2017-156909,,,Second Class,SF-20065,United States,Philadelphia,Pennsylvania,19140,East
CA-2015-106320,,,Standard Class,EB-13870,United States,Orem,Utah,84057,West
CA-2016-121755,,,Second Class,EH-13945,United States,Los Angeles,California,90049,West
US-2015-150630,,,Standard Class,TB-21520,United States,Philadelphia,Pennsylvania,19140,East
CA-2017-107727,,,Second Class,MA-17560,United States,Houston,Texas,77095,Central
CA-2016-117590,2016-08-12,2016-10-12,First Class,GH-14485,United States,Richardson,Texas,75080,Central
CA-2015-117415,,,Standard Class,SN-20710,United States,Houston,Texas,77041,Central
CA-2017-120999,2017-10-09,,Standard Class,LC-16930,United States,Naperville,Illinois,60540,Central
CA-2016-101343,,,Standard Class,RA-19885,United States,Los Angeles,California,90049,West
CA-2017-139619,,,Standard Class,ES-14080,United States,Melbourne,Florida,32935,South
CA-2016-118255,2016-11-03,,First Class,ON-18715,United States,Eagan,Minnesota,55122,Central
CA-2014-146703,,,Second Class,PO-18865,United States,Westland,Michigan,48185,Central
CA-2016-169194,,,Standard Class,LH-16900,United States,Dover,Delaware,19901,East
CA-2015-115742,,,Standard Class,DP-13000,United States,New Albany,Indiana,47150,Central
CA-2016-105816,2016-11-12,,Standard Class,JM-15265,United States,New York City,New York,10024,East
CA-2016-111682,,,First Class,TB-21055,United States,Troy,New York,12180,East
CA-2015-135545,,,Standard Class,KM-16720,United States,Los Angeles,California,90004,West
US-2015-164175,,2015-05-05,Standard Class,PS-18970,United States,Chicago,Illinois,60610,Central
CA-2014-106376,2014-05-12,2014-10-12,Standard Class,BS-11590,United States,Gilbert,Arizona,85234,West
CA-2016-119823,2016-04-06,2016-06-06,First Class,KD-16270,United States,Springfield,Virginia,22153,South
CA-2016-106075,,,Standard Class,HM-14980,United States,New York City,New York,10009,East
CA-2017-114440,,,Second Class,TB-21520,United States,Jackson,Michigan,49201,Central
US-2015-134026,,2015-02-05,Standard Class,JE-15745,United States,Memphis,Tennessee,38109,South
US-2017-118038,2017-09-12,2017-11-12,First Class,KB-16600,United States,Houston,Texas,77041,Central
